"","ldf_num","exposureRate","realLabel","targetObjectName","performance"
"108",15,4,"manu","2009-600.jpg",TRUE
"109",16,1,"manu","2009-600.jpg",TRUE
"110",16,4,"kiv","2006-600.jpg",TRUE
"111",16,4,"gazzer","2023-600.jpg",TRUE
"112",16,1,"kreeb","2025-600.jpg",FALSE
"113",16,4,"toma","2002-600.jpg",TRUE
"114",16,1,"fep","2007-600.jpg",TRUE
"115",16,2,"wug","2005-600.jpg",TRUE
"116",16,2,"blicket","2001-600.jpg",TRUE
"117",16,2,"dax","2056-600.jpg",TRUE
"118",18,2,"kreeb","2002-600.jpg",FALSE
"119",18,1,"manu","2006-600.jpg",FALSE
"120",18,1,"toma","2056-600.jpg",TRUE
"121",18,2,"fep","2009-600.jpg",TRUE
"122",18,1,"kiv","2007-600.jpg",FALSE
"123",18,4,"wug","2005-600.jpg",TRUE
"124",18,2,"gazzer","2001-600.jpg",TRUE
"125",18,4,"blicket","2023-600.jpg",TRUE
"126",18,4,"dax","2025-600.jpg",TRUE
"127",19,4,"manu","2025-600.jpg",TRUE
"128",19,1,"kiv","2001-600.jpg",TRUE
"129",19,2,"kreeb","2023-600.jpg",FALSE
"130",19,4,"wug","2056-600.jpg",TRUE
"131",19,2,"toma","2005-600.jpg",TRUE
"132",19,1,"fep","2009-600.jpg",FALSE
"133",19,2,"dax","2007-600.jpg",TRUE
"134",19,1,"gazzer","2006-600.jpg",FALSE
"135",19,4,"blicket","2002-600.jpg",TRUE
"136",21,2,"toma","2023-600.jpg",FALSE
"137",21,4,"kiv","2002-600.jpg",TRUE
"138",21,1,"blicket","2006-600.jpg",TRUE
"139",21,1,"wug","2005-600.jpg",FALSE
"140",21,4,"manu","2001-600.jpg",TRUE
"141",21,2,"gazzer","2009-600.jpg",FALSE
"142",21,4,"kreeb","2007-600.jpg",TRUE
"143",21,2,"fep","2056-600.jpg",FALSE
"144",21,1,"dax","2025-600.jpg",TRUE
"145",22,2,"kiv","2056-600.jpg",TRUE
"146",22,4,"blicket","2025-600.jpg",TRUE
"147",22,2,"wug","2006-600.jpg",TRUE
"148",22,2,"dax","2005-600.jpg",TRUE
"149",22,4,"manu","2002-600.jpg",TRUE
"150",22,1,"fep","2023-600.jpg",TRUE
"151",22,1,"kreeb","2009-600.jpg",TRUE
"152",22,4,"toma","2001-600.jpg",TRUE
"153",22,1,"gazzer","2007-600.jpg",TRUE
"154",23,1,"wug","2007-600.jpg",TRUE
"155",23,1,"gazzer","2025-600.jpg",TRUE
"156",23,4,"blicket","2001-600.jpg",TRUE
"157",23,2,"fep","2056-600.jpg",TRUE
"158",23,2,"kreeb","2002-600.jpg",TRUE
"159",23,2,"manu","2023-600.jpg",TRUE
"160",23,1,"dax","2005-600.jpg",TRUE
"161",23,4,"toma","2006-600.jpg",TRUE
"162",23,4,"kiv","2009-600.jpg",TRUE
"163",25,1,"kiv","2023-600.jpg",TRUE
"164",25,2,"toma","2005-600.jpg",TRUE
"165",25,4,"manu","2007-600.jpg",TRUE
"166",25,2,"dax","2001-600.jpg",FALSE
"167",25,4,"blicket","2006-600.jpg",TRUE
"168",25,4,"wug","2009-600.jpg",TRUE
"169",25,1,"fep","2025-600.jpg",FALSE
"170",25,1,"gazzer","2002-600.jpg",FALSE
"171",25,2,"kreeb","2056-600.jpg",FALSE
"172",26,4,"manu","2025-600.jpg",TRUE
"173",26,1,"blicket","2009-600.jpg",TRUE
"174",26,1,"gazzer","2007-600.jpg",TRUE
"175",26,1,"wug","2005-600.jpg",FALSE
"176",26,2,"fep","2002-600.jpg",TRUE
"177",26,2,"kreeb","2023-600.jpg",FALSE
"178",26,4,"kiv","2006-600.jpg",TRUE
"179",26,4,"dax","2056-600.jpg",TRUE
"180",26,2,"toma","2001-600.jpg",TRUE
"181",27,4,"wug","2001-600.jpg",TRUE
"182",27,1,"kreeb","2005-600.jpg",FALSE
"183",27,1,"blicket","2007-600.jpg",FALSE
"184",27,1,"toma","2009-600.jpg",FALSE
"185",27,4,"gazzer","2023-600.jpg",TRUE
"186",27,2,"kiv","2006-600.jpg",TRUE
"187",27,2,"dax","2025-600.jpg",FALSE
"188",27,4,"manu","2056-600.jpg",TRUE
"189",27,2,"fep","2002-600.jpg",TRUE
"190",28,2,"manu","2005-600.jpg",TRUE
"191",28,4,"gazzer","2025-600.jpg",TRUE
"192",28,4,"kreeb","2001-600.jpg",TRUE
"193",28,4,"fep","2009-600.jpg",TRUE
"194",28,1,"wug","2002-600.jpg",FALSE
"195",28,1,"dax","2006-600.jpg",FALSE
"196",28,2,"toma","2007-600.jpg",TRUE
"197",28,2,"kiv","2056-600.jpg",FALSE
"198",28,1,"blicket","2023-600.jpg",FALSE
"199",29,4,"kreeb","2006-600.jpg",TRUE
"200",29,4,"gazzer","2025-600.jpg",TRUE
"201",29,1,"fep","2001-600.jpg",FALSE
"202",29,1,"blicket","2023-600.jpg",TRUE
"203",29,1,"dax","2009-600.jpg",FALSE
"204",29,2,"wug","2005-600.jpg",FALSE
"205",29,2,"kiv","2002-600.jpg",TRUE
"206",29,2,"manu","2056-600.jpg",FALSE
"207",29,4,"toma","2007-600.jpg",TRUE
"208",30,2,"dax","2056-600.jpg",TRUE
"209",30,1,"wug","2002-600.jpg",FALSE
"210",30,2,"kiv","2001-600.jpg",TRUE
"211",30,1,"gazzer","2009-600.jpg",FALSE
"212",30,4,"fep","2023-600.jpg",TRUE
"213",30,4,"manu","2007-600.jpg",TRUE
"214",30,1,"toma","2025-600.jpg",FALSE
"215",30,2,"kreeb","2006-600.jpg",TRUE
"216",30,4,"blicket","2005-600.jpg",TRUE
"217",31,4,"toma","2023-600.jpg",TRUE
"218",31,1,"wug","2006-600.jpg",FALSE
"219",31,4,"manu","2025-600.jpg",TRUE
"220",31,1,"blicket","2001-600.jpg",TRUE
"221",31,2,"gazzer","2005-600.jpg",FALSE
"222",31,2,"kiv","2002-600.jpg",TRUE
"223",31,2,"kreeb","2009-600.jpg",TRUE
"224",31,4,"dax","2056-600.jpg",TRUE
"225",31,1,"fep","2007-600.jpg",FALSE
"226",33,2,"kreeb","2002-600.jpg",TRUE
"227",33,2,"kiv","2001-600.jpg",TRUE
"228",33,1,"fep","2023-600.jpg",FALSE
"229",33,4,"dax","2007-600.jpg",TRUE
"230",33,4,"manu","2009-600.jpg",TRUE
"231",33,1,"wug","2025-600.jpg",FALSE
"232",33,4,"gazzer","2056-600.jpg",TRUE
"233",33,2,"blicket","2005-600.jpg",TRUE
"234",33,1,"toma","2006-600.jpg",FALSE
"235",34,4,"toma","2009-600.jpg",TRUE
"236",34,2,"manu","2002-600.jpg",TRUE
"237",34,4,"kreeb","2001-600.jpg",TRUE
"238",34,2,"kiv","2025-600.jpg",TRUE
"239",34,2,"wug","2006-600.jpg",TRUE
"240",34,1,"gazzer","2005-600.jpg",TRUE
"241",34,4,"fep","2056-600.jpg",TRUE
"242",34,1,"blicket","2007-600.jpg",TRUE
"243",34,1,"dax","2023-600.jpg",TRUE
"244",35,1,"toma","2002-600.jpg",FALSE
"245",35,2,"fep","2001-600.jpg",TRUE
"246",35,4,"wug","2007-600.jpg",TRUE
"247",35,1,"kreeb","2023-600.jpg",FALSE
"248",35,1,"manu","2056-600.jpg",FALSE
"249",35,4,"blicket","2006-600.jpg",TRUE
"250",35,2,"dax","2009-600.jpg",FALSE
"251",35,2,"kiv","2025-600.jpg",FALSE
"252",35,4,"gazzer","2005-600.jpg",TRUE
"253",36,1,"fep","2007-600.jpg",TRUE
"254",36,2,"toma","2025-600.jpg",TRUE
"255",36,4,"blicket","2023-600.jpg",TRUE
"256",36,1,"kreeb","2002-600.jpg",TRUE
"257",36,4,"dax","2009-600.jpg",TRUE
"258",36,2,"kiv","2005-600.jpg",TRUE
"259",36,2,"gazzer","2001-600.jpg",TRUE
"260",36,1,"wug","2006-600.jpg",TRUE
"261",36,4,"manu","2056-600.jpg",TRUE
"262",38,2,"manu","2002-600.jpg",TRUE
"263",38,4,"wug","2023-600.jpg",TRUE
"264",38,4,"kreeb","2005-600.jpg",TRUE
"265",38,2,"dax","2006-600.jpg",TRUE
"266",38,4,"toma","2009-600.jpg",TRUE
"267",38,1,"fep","2001-600.jpg",TRUE
"268",38,1,"kiv","2025-600.jpg",TRUE
"269",38,1,"gazzer","2007-600.jpg",FALSE
"270",38,2,"blicket","2056-600.jpg",TRUE
"271",39,4,"kreeb","2006-600.jpg",TRUE
"272",39,1,"gazzer","2005-600.jpg",TRUE
"273",39,1,"dax","2056-600.jpg",TRUE
"274",39,4,"blicket","2023-600.jpg",TRUE
"275",39,2,"fep","2007-600.jpg",TRUE
"276",39,4,"kiv","2009-600.jpg",TRUE
"277",39,2,"toma","2002-600.jpg",TRUE
"278",39,1,"wug","2001-600.jpg",TRUE
"279",39,2,"manu","2025-600.jpg",FALSE
"280",40,1,"kiv","2056-600.jpg",FALSE
"281",40,4,"manu","2025-600.jpg",TRUE
"282",40,1,"wug","2002-600.jpg",FALSE
"283",40,4,"dax","2006-600.jpg",TRUE
"284",40,2,"gazzer","2005-600.jpg",FALSE
"285",40,2,"kreeb","2023-600.jpg",TRUE
"286",40,4,"toma","2007-600.jpg",TRUE
"287",40,2,"fep","2009-600.jpg",TRUE
"288",40,1,"blicket","2001-600.jpg",FALSE
"289",41,2,"kiv","2006-600.jpg",TRUE
"290",41,1,"gazzer","2005-600.jpg",TRUE
"291",41,2,"dax","2001-600.jpg",TRUE
"292",41,4,"wug","2025-600.jpg",TRUE
"293",41,1,"kreeb","2023-600.jpg",TRUE
"294",41,1,"manu","2007-600.jpg",TRUE
"295",41,2,"fep","2009-600.jpg",TRUE
"296",41,4,"toma","2002-600.jpg",TRUE
"297",41,4,"blicket","2056-600.jpg",TRUE
"298",42,2,"wug","2056-600.jpg",FALSE
"299",42,1,"kiv","2009-600.jpg",FALSE
"300",42,2,"fep","2005-600.jpg",TRUE
"301",42,4,"toma","2006-600.jpg",TRUE
"302",42,4,"blicket","2002-600.jpg",TRUE
"303",42,1,"kreeb","2007-600.jpg",FALSE
"304",42,2,"gazzer","2001-600.jpg",FALSE
"305",42,1,"dax","2025-600.jpg",FALSE
"306",42,4,"manu","2023-600.jpg",TRUE
"307",44,4,"kiv","2023-600.jpg",TRUE
"308",44,2,"blicket","2056-600.jpg",TRUE
"309",44,1,"wug","2001-600.jpg",TRUE
"310",44,1,"gazzer","2007-600.jpg",TRUE
"311",44,2,"kreeb","2002-600.jpg",TRUE
"312",44,4,"fep","2006-600.jpg",TRUE
"313",44,4,"toma","2005-600.jpg",TRUE
"314",44,1,"dax","2025-600.jpg",TRUE
"315",44,2,"manu","2009-600.jpg",TRUE
"316",45,4,"blicket","2056-600.jpg",TRUE
"317",45,4,"toma","2005-600.jpg",TRUE
"318",45,2,"kreeb","2025-600.jpg",TRUE
"319",45,1,"dax","2009-600.jpg",FALSE
"320",45,2,"gazzer","2001-600.jpg",TRUE
"321",45,2,"fep","2002-600.jpg",FALSE
"322",45,1,"manu","2006-600.jpg",FALSE
"323",45,4,"wug","2007-600.jpg",FALSE
"324",45,1,"kiv","2023-600.jpg",FALSE
"325",46,4,"fep","2005-600.jpg",TRUE
"326",46,1,"gazzer","2056-600.jpg",FALSE
"327",46,2,"toma","2001-600.jpg",TRUE
"328",46,2,"kreeb","2009-600.jpg",TRUE
"329",46,2,"dax","2002-600.jpg",TRUE
"330",46,4,"manu","2007-600.jpg",TRUE
"331",46,4,"blicket","2006-600.jpg",TRUE
"332",46,1,"kiv","2025-600.jpg",FALSE
"333",46,1,"wug","2023-600.jpg",FALSE
"334",47,2,"blicket","2007-600.jpg",TRUE
"335",47,4,"toma","2023-600.jpg",TRUE
"336",47,1,"dax","2002-600.jpg",FALSE
"337",47,4,"kiv","2005-600.jpg",TRUE
"338",47,2,"gazzer","2056-600.jpg",FALSE
"339",47,1,"kreeb","2006-600.jpg",FALSE
"340",47,1,"wug","2009-600.jpg",FALSE
"341",47,4,"manu","2025-600.jpg",TRUE
"342",47,2,"fep","2001-600.jpg",TRUE
"343",48,1,"blicket","2023-600.jpg",FALSE
"344",48,2,"wug","2006-600.jpg",FALSE
"345",48,2,"kiv","2009-600.jpg",TRUE
"346",48,4,"kreeb","2005-600.jpg",TRUE
"347",48,1,"fep","2002-600.jpg",FALSE
"348",48,2,"manu","2056-600.jpg",FALSE
"349",48,1,"gazzer","2001-600.jpg",FALSE
"350",48,4,"toma","2025-600.jpg",TRUE
"351",48,4,"dax","2007-600.jpg",TRUE
"352",49,4,"dax","2001-600.jpg",TRUE
"353",49,1,"manu","2056-600.jpg",TRUE
"354",49,2,"kreeb","2005-600.jpg",TRUE
"355",49,4,"fep","2006-600.jpg",TRUE
"356",49,2,"kiv","2007-600.jpg",TRUE
"357",49,1,"blicket","2009-600.jpg",TRUE
"358",49,4,"gazzer","2023-600.jpg",TRUE
"359",49,2,"wug","2002-600.jpg",TRUE
"360",49,1,"toma","2025-600.jpg",TRUE
"361",50,1,"fep","2001-600.jpg",TRUE
"362",50,4,"toma","2007-600.jpg",TRUE
"363",50,2,"wug","2009-600.jpg",TRUE
"364",50,4,"kreeb","2025-600.jpg",TRUE
"365",50,2,"dax","2005-600.jpg",TRUE
"366",50,1,"gazzer","2002-600.jpg",TRUE
"367",50,1,"manu","2023-600.jpg",FALSE
"368",50,2,"kiv","2056-600.jpg",TRUE
"369",50,4,"blicket","2006-600.jpg",TRUE
"370",52,2,"kiv","2006-600.jpg",TRUE
"371",52,4,"wug","2025-600.jpg",TRUE
"372",52,4,"toma","2002-600.jpg",TRUE
"373",52,2,"kreeb","2007-600.jpg",FALSE
"374",52,1,"gazzer","2005-600.jpg",TRUE
"375",52,2,"blicket","2056-600.jpg",FALSE
"376",52,4,"dax","2001-600.jpg",TRUE
"377",52,1,"fep","2023-600.jpg",FALSE
"378",52,1,"manu","2009-600.jpg",TRUE
"379",53,2,"fep","2001-600.jpg",TRUE
"380",53,2,"wug","2002-600.jpg",TRUE
"381",53,4,"gazzer","2056-600.jpg",TRUE
"382",53,1,"kreeb","2009-600.jpg",TRUE
"383",53,2,"dax","2025-600.jpg",TRUE
"384",53,4,"blicket","2023-600.jpg",TRUE
"385",53,1,"toma","2005-600.jpg",TRUE
"386",53,4,"kiv","2007-600.jpg",TRUE
"387",53,1,"manu","2006-600.jpg",TRUE
"388",54,4,"kreeb","2002-600.jpg",TRUE
"389",54,2,"manu","2001-600.jpg",TRUE
"390",54,1,"gazzer","2056-600.jpg",TRUE
"391",54,4,"dax","2023-600.jpg",TRUE
"392",54,1,"wug","2007-600.jpg",FALSE
"393",54,2,"blicket","2005-600.jpg",TRUE
"394",54,4,"toma","2006-600.jpg",FALSE
"395",54,1,"fep","2025-600.jpg",FALSE
"396",54,2,"kiv","2009-600.jpg",TRUE
"397",55,4,"kiv","2009-600.jpg",TRUE
"398",55,1,"blicket","2025-600.jpg",TRUE
"399",55,2,"kreeb","2023-600.jpg",TRUE
"400",55,2,"wug","2006-600.jpg",TRUE
"401",55,1,"dax","2056-600.jpg",TRUE
"402",55,1,"gazzer","2007-600.jpg",FALSE
"403",55,4,"fep","2005-600.jpg",TRUE
"404",55,2,"toma","2001-600.jpg",TRUE
"405",55,4,"manu","2002-600.jpg",TRUE
"406",56,2,"wug","2006-600.jpg",TRUE
"407",56,4,"manu","2005-600.jpg",TRUE
"408",56,2,"fep","2009-600.jpg",FALSE
"409",56,1,"gazzer","2056-600.jpg",FALSE
"410",56,4,"kreeb","2007-600.jpg",TRUE
"411",56,1,"blicket","2002-600.jpg",FALSE
"412",56,4,"toma","2001-600.jpg",TRUE
"413",56,2,"dax","2025-600.jpg",TRUE
"414",56,1,"kiv","2023-600.jpg",FALSE
"415",57,2,"kiv","2006-600.jpg",TRUE
"416",57,2,"dax","2056-600.jpg",FALSE
